Category,Type of Vehicles,Newly_Registered_2016_17,"Total Registered as on 31st March, 2017"
Transport,I. Multiaxled/Articulated Vehicles,65503,1017678
Transport,II. Trucks & Lorries,215971,4345264
Transport,III. Light Motor Vehicles (Goods) - (a) Four Wheelers,286487,3656513
Transport,III. Light Motor Vehicles (Goods) - (b) Three Wheelers,121693,3236882
Transport,III. Light Motor Vehicles (Good) - Total,408180,6893395
Transport,IV. Buses - a) State Carriages,13623,449402
Transport,IV. Buses - b) Contract Carriages,30128,347624
Transport,IV. Buses - c) Private Service Vehicles,13953,142287
Transport,IV. Buses - d) Other Buses,28493,401143
Transport,IV. Buses - Total,86198,1340456
Transport,V. Taxis - a) Motor Cabs,186515,1446749
Transport,V. Taxis - b) Maxi Cabs,35923,693986
Transport,V. Taxis - c) Other Taxis,116174,554071
Transport,V. Taxis - Total,338612,2694806
Transport,VI. Light Motor Vehicles (Passengers) - a) Three Seaters,316277,3758439
Transport,VI. Light Motor Vehicles (Passengers) - b) Four to Six Seaters,107458,1900146
Transport,VI. Light Motor Vehicles (Passengers) - Total,423735,5658585
Transport,VII. Motor Cycles on Hire,12367,151532
Transport,VIII. Other Vehicles not included in (I to VII,8150,437215
Transport,Total Transport (I to VII),1558716,22538931
Non Transport,I. Two Wheelers - a) Scooters,5370305,61729010
Non Transport,I. Two Wheelers - b) Mopeds,685322,13723047
Non Transport,I. Two Wheelers - c) Motor Cycle,10032787,111639220
Non Transport,I. Two Wheelers - Total,16088414,187091277
Non Transport,II. Cars,2416469,28693670
Non Transport,III. Jeeps,116159,2299426
Non Transport,IV. Omni Buses,24762,523756
Non Transport,V. Tractors,482711,7655385
Non Transport,VI. Trailers,110985,2024757
Non Transport,VII. Other Vehicles not covered,111790,2483853
Non Transport,Total Non Tranport (I to VII),19351290,230772124
